id xcenter ycenter aperture_sum
274 1509.1802 157.14645 518.40015
275 1618.6784 156.7959 877.64197
276 652.59608 158.95174 2585.2845
277 1530.4884 158.91672 19468.527
278 532.80953 160.24015 12495.483
279 844.68774 159.88254 411.2522
280 826.3964 161.17499 649.17592
281 686.50391 162.44766 258.61443
282 776.55784 161.56948 1596.0267
283 1672.3184 161.76631 1114.447
284 302.50558 163.93537 9498.1281
285 1455.1824 163.63841 479.01416
286 268.83491 165.40627 649.37078
287 924.05491 165.58815 355.31022
288 1779.6034 164.65325 591.85962
289 1795.573 166.5289 289.61152
290 1499.3194 168.25008 639.14445
291 1948.9203 167.5615 1438.8625
292 767.31598 168.92167 519.92197
293 1558.1171 169.90074 1022.2876
294 368.16435 170.51923 451.2304
295 892.75056 170.7937 989.87545
296 1141.9311 171.23911 747.98768
297 1262.741 172.31552 687.28755
298 1355.7444 172.03442 836.20945
299 1335.803 172.88672 6306.9204
300 1121.6965 174.60051 15453.326
301 1359.3678 175.04778 502.73158
302 771.51199 176.13217 428.85045
303 1161.3881 175.90494 932704.36
304 1717.488 176.50217 577.60945
305 719.67701 177.15366 59.824595
306 1404.7489 178.23139 653.44982
307 1650.9644 177.62116 1834.1783
308 256.10826 179.62755 562.27334
309 2012.8621 179.38977 1435.5574
310 617.92046 180.53659 695.39893
311 1132.5423 179.74326 1442.5728
312 228.52428 181.28462 637.47333
313 1337.032 180.89502 535.41845
314 1378.9714 181.08151 7294.2421
315 142.10359 182.2212 1045.6682
316 373.18522 182.47732 1163.1623
317 1964.8738 182.14177 17429.263
318 1938.6455 183.38669 241.77117
319 152.44799 185.40785 513.93825
320 1223.033 186.07334 4312.9563
321 1429.0614 185.99776 516.01401
322 1708.9613 185.71231 1845.71
323 1741.4697 186.00057 1926.2792
324 1612.3819 186.5627 531.87261
325 1834.8147 187.68251 394.92679
326 666.13136 188.63264 1223.523
327 987.16242 188.89225 4375.9453
328 1000.0916 189.51909 848.20913
329 596.59949 190.8157 929.09022
330 709.49829 192.44453 450.74921
331 1023.3512 191.75101 497.98098
332 206.98195 193.47425 1069.2383
333 287.27371 193.44537 449.39219
334 300.48706 192.86712 385.88897
335 1060.0612 192.99891 210772.97
336 1097.0253 194.30768 575.42105
337 347.07185 195.48937 394.21761
338 477.49048 195.05635 16410.805
339 1933.6947 194.83508 2039.5434
340 957.2514 196.21581 635.01234
341 579.07891 196.37696 502.66015
342 1103.4607 196.52852 17108.759
343 1876.5286 196.83066 613.77189
344 193.78642 198.18869 486.96348
345 851.62266 197.63546 318.01082
346 1547.0474 198.27981 1199.4776
347 1031.8721 198.67783 1938.4341
348 1987.3765 198.72543 786.59354
349 1118.7445 200.05338 338.85506
350 1161.0108 199.6473 328.50984
351 1603.181 200.36453 643.45184
352 1982.0773 201.08193 329.42337
353 224.86896 201.53257 416.48627
354 1969.3029 201.6705 11405.38
355 454.15784 202.83918 520.29952
356 1530.7809 204.47631 10565.723
357 757.08325 204.48153 453.82165
358 1132.1047 204.41988 353.89435
359 1982.9558 207.29887 689.85098
360 1312.2199 208.57216 2122.8855
361 307.64176 209.41653 745.3784
362 1028.2658 209.29857 3795.9745
363 1169.2974 208.70682 524.55616
364 790.8366 210.14579 2131.3382
365 1414.8392 210.11258 23934.478
366 1646.9933 210.3228 4228.0418
367 1060.6362 210.61474 866.18811
368 2031.0125 211.40808 781.50305
369 1733.0618 211.76647 2550.8522
370 331.14732 213.06318 787.54046
371 365.40754 212.81777 3644.5349
372 1193.4296 212.64944 532.9855
373 1899.5357 212.8368 1495.9538
374 518.39141 213.54922 4840.9607
375 738.66763 213.99504 1823.534
376 784.84848 214.46259 1176.4624
377 1106.0647 214.72421 325.05206
378 1493.7468 215.56989 1667.973
379 1855.7395 215.79102 1333.9738
380 1086.4103 217.11405 1201.7511
381 1434.6473 217.28036 319.0818
382 1844.4761 216.89239 5899.9543
383 778.33503 217.72478 609.87055
384 1020.2852 217.84028 93.93016
385 987.01133 220.30712 1639.5446
386 1344.5436 219.61273 102.61815
387 853.26043 221.44517 1798.651
388 876.09052 220.61682 6915.9672
389 750.23882 221.85861 319.25506
390 407.00186 222.9021 11011.276
391 861.77735 223.37498 933.90909
392 1472.06 222.89865 303.81962
393 523.89622 224.47513 2029.3905
394 650.02843 224.54771 789.46294
395 1653.4455 225.03715 4699.5895
396 338.16949 225.9875 301.43033
397 454.30109 225.52166 379.83309
398 665.03325 226.38336 1204.8842
399 817.15566 225.99398 324.46858
400 1232.4044 226.28221 127.99565
401 1597.6686 226.47131 679.80828
402 851.66405 226.5709 807.7693
403 2023.5799 227.02755 137.1482
404 64.580907 228.2867 579.62424
405 1076.0774 228.43199 4663.6694
406 1545.537 227.76256 1276.2434
407 2043.9707 228.37861 -1448.0772
408 1860.1901 229.32815 3143.2447
409 19.629189 230.02854 738.68972
410 1182.819 229.93923 369.01667
411 2004.372 229.84753 430.10979
412 1402.5464 230.79794 127.02634
413 1833.5964 231.51737 997.71478
414 1097.6682 231.80304 1079.0466
415 355.20352 233.49325 331.05278
416 1479.1452 233.17682 15640.754
417 913.70171 234.04927 1089.3443
418 305.12259 234.96647 4164.069
419 12.013259 235.9137 652.87079
420 626.09997 235.82962 885.44768
421 770.008 236.03255 2561.8642
422 1403.1428 236.10789 545.39106
423 1561.9863 235.59578 1231.3383
424 580.69821 236.91272 562.0164
425 1124.4149 237.30283 820.97807
426 1836.2533 237.44441 965.96973
427 1978.2224 237.78966 770.29691
428 638.75003 239.31854 6400.0579
429 584.87687 240.31567 1387.5548
430 1275.3872 239.71533 2527.2148
431 1676.5182 239.82871 750.76059
432 125.89778 240.53097 1366.8609
433 1008.567 240.61929 3780.8974
434 1900.1782 241.24333 1334.4153
