Wavelength,Flux,BestFit,SkyFlux
4408.593,35.015,38.098,6.687
4409.607,32.969,38.331,7.151
4410.624,35.346,38.478,6.515
4411.638,37.755,39.701,6.25
4412.656,37.244,40.561,6.84
4413.671,38.383,41.588,6.536
4414.689,38.312,39.975,5.959
4415.704,36.666,40.752,6.242
4416.723,34.767,42.269,6.939
4417.739,31.909,37.892,6.747
4418.755,33.892,32.916,6.289
4419.774,35.481,34.15,6.32
4420.791,34.884,35.049,6.678
4421.81,37.021,35.572,6.862
4422.827,36.045,37.036,6.44
4423.847,37.716,38.951,5.664
4424.865,42.064,41.148,6.097
4425.883,31.648,41.357,7.012
4426.903,34.395,40.761,6.816
4427.922,34.14,39.528,6.354
4428.943,36.825,37.559,5.973
4429.962,36.267,36.381,5.629
4430.983,35.867,38.403,5.509
4432.003,35.746,36.614,5.845
4433.022,35.909,38.546,6.06
4434.044,36.542,41.083,5.755
4435.064,36.077,40.317,5.127
4436.087,36.195,38.544,4.947
4437.108,38.59,40.251,5.379
4438.131,38.593,39.163,5.84
4439.152,38.879,39.933,6.227
4440.173,37.466,39.52,6.059
4441.197,38.228,37.535,5.483
4442.219,34.874,37.392,5.424
4443.243,38.609,36.622,5.115
4444.265,36.153,35.192,4.825
4445.29,32.968,35.528,5.219
4446.313,36.163,36.547,5.783
4447.336,38.31,37.745,5.868
4448.361,36.305,39.502,5.466
4449.384,35.245,39.797,5.087
4450.41,34.548,39.361,4.991
4451.434,34.254,38.852,4.72
4452.461,36.586,39.223,4.523
4453.485,34.33,38.776,4.714
4454.51,36.031,35.944,4.442
4455.537,39.1,35.293,3.842
4456.562,36.279,36.633,3.67
4457.589,36.09,38.3,3.974
4458.615,38.368,39.507,4.232
4459.643,36.743,40.094,4.149
4460.669,37.267,40.221,4.018
4461.695,39.348,40.362,4.047
4462.724,37.806,40.598,4.175
4463.751,35.82,38.489,4.252
4464.78,35.805,35.545,4.18
4465.807,36.886,34.851,4.832
4466.837,34.233,36.002,5.039
4467.864,37.025,33.45,4.529
4468.892,37.01,36.565,4.52
4469.923,33.718,36.611,4.34
4470.951,36.291,36.149,3.659
4471.982,35.724,38.039,3.752
4473.011,35.666,40.179,4.286
4474.042,36.421,41.324,4.621
4475.072,36.64,37.694,4.785
4476.101,37.811,37.42,4.832
4477.133,38.576,38.748,4.565
4478.163,37.937,38.245,4.407
4479.196,38.35,36.939,4.416
4480.226,37.098,38.007,4.438
4481.259,36.046,38.71,4.396
4482.29,35.519,37.98,4.284
4483.322,35.393,37.855,4.645
4484.355,34.837,37.592,5.044
4485.387,35.934,35.31,4.876
4486.421,37.405,34.563,4.705
4487.453,36.567,32.683,4.704
4488.488,36.529,33.299,4.365
4489.521,35.928,35.901,4.022
4490.554,32.71,36.966,4.206
4491.589,33.769,35.646,4.592
4492.622,37.556,37.773,4.533
4493.658,35.691,38.116,4.784
4494.692,35.806,36.055,5.057
4495.729,33.976,33.765,4.921
4496.763,32.361,33.589,4.806
4497.8,32.35,34.791,4.244
4498.834,34.652,32.645,4.299
4499.869,32.084,34.439,4.731
4500.907,32.94,35.355,4.569
4501.943,31.423,35.51,4.404
4502.981,29.507,36.412,4.566
4504.017,33.059,36.441,4.773
4505.055,31.598,32.767,4.788
4506.092,30.913,34.761,4.934
4507.128,36.336,35.646,5.101
4508.168,34.064,35.486,4.979
4509.205,31.989,34.924,4.731
4510.244,35.23,33.084,4.899
4511.282,33.51,33.485,5.118
4512.322,33.865,36.179,4.972
4513.36,37.076,36.167,4.672
4514.399,35.449,36.469,4.344
4515.44,37.184,38.097,4.483
4516.478,36.009,37.613,4.478
4517.52,35.889,35.4,4.469
4518.559,36.009,35.299,4.677
4519.601,36.049,35.86,4.521
4520.641,35.836,33.52,4.496
4521.681,35.019,30.684,5.032
4522.724,34.309,31.685,5.058
4523.764,34.686,30.99,4.659
4524.807,35.242,31.047,4.784
4525.848,33.762,32.674,4.888
4526.892,36.774,33.981,5.037
4527.933,33.503,33.534,5.16
4528.975,36.986,32.4,5.312
4530.019,33.131,33.113,5.269
4531.061,34.843,31.566,5.209
4532.106,35.269,32.006,5.735
